seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
37,ego,False,True,False,False,False,True,-0.360,2.280,3.630,18.310,-0.360,0,infs
37,ours,True,False,False,False,False,False,0.338,1.710,3.630,4.260,0.340,0,8.7
38,ego,True,False,False,False,False,False,0.378,3.540,25.120,0.760,0.380,0,9.7
38,ours,True,False,False,False,False,False,0.374,2.570,25.120,1.880,0.370,0,9.7
39,ego,False,True,False,False,False,False,-0.005,1.110,14.800,4.910,-0.000,0,infs
39,ours,True,False,False,False,False,False,0.297,1.590,18.580,1.370,0.300,320,10.7
40,ego,True,False,False,False,False,False,0.169,0.720,25.710,2.470,0.170,0,9.0
40,ours,True,False,False,False,False,False,0.169,0.450,25.710,2.470,0.170,956,10.5
41,ego,True,False,False,False,False,False,0.399,0.720,11.190,0.400,0.480,0,9.0
41,ours,True,False,False,False,False,False,0.642,1.430,12.390,1.470,0.640,0,9.0
42,ego,False,True,False,False,False,True,-0.049,0.200,7.950,1.660,-0.050,0,infs
42,ours,True,False,False,False,False,False,0.305,1.100,4.520,1.610,0.310,0,11.0
43,ego,True,False,False,False,False,False,0.281,1.770,14.830,4.900,0.280,0,8.7
43,ours,True,False,False,False,False,False,0.382,1.760,14.870,5.050,0.380,0,8.7
44,ego,True,False,False,False,False,False,0.082,1.210,0.990,0.080,0.410,0,9.1
44,ours,True,False,False,False,False,False,0.371,1.630,4.940,1.690,0.370,0,9.2
45,ego,True,False,False,False,False,False,0.274,0.270,21.620,0.500,0.310,0,9.5
45,ours,True,False,False,False,False,False,0.336,3.020,16.700,1.630,0.340,219,11.7
46,ego,True,False,False,False,False,False,0.020,3.150,9.140,0.470,0.020,0,8.0
46,ours,True,False,False,False,False,False,0.486,2.430,13.870,2.130,0.490,0,8.8
47,ego,True,False,False,False,False,False,0.207,0.580,,0.820,0.210,0,9.7
47,ours,True,False,False,False,False,False,0.316,2.680,,2.000,0.320,0,9.9
48,ego,True,False,False,False,False,False,0.248,0.370,7.980,1.430,0.250,0,10.0
48,ours,True,False,False,False,False,False,0.043,0.890,4.380,2.380,0.040,0,10.4
49,ego,True,False,False,False,False,False,0.558,2.920,27.770,0.560,0.600,0,9.8
49,ours,True,False,False,False,False,False,0.541,1.100,28.320,1.380,0.540,0,10.5
50,ego,True,False,False,False,False,False,0.241,3.860,21.420,2.420,0.240,0,8.8
50,ours,True,False,False,False,False,False,0.241,3.860,21.420,2.420,0.240,0,8.8
51,ego,False,True,False,True,False,False,-0.296,4.170,-0.300,22.290,4.410,0,infs
51,ours,False,True,False,False,False,True,-0.269,2.190,0.620,11.820,-0.270,0,infs
52,ego,True,False,False,False,False,False,0.392,2.940,,0.460,0.390,0,8.6
52,ours,True,False,False,False,False,False,0.438,2.070,,1.800,0.440,0,10.0
53,ego,True,False,False,False,False,False,0.676,0.680,,1.230,7.760,0,9.7
53,ours,True,False,False,False,False,False,1.971,1.970,,2.510,7.760,0,9.7
54,ego,False,True,False,False,False,True,-0.331,0.680,,0.310,-0.330,0,infs
54,ours,True,False,False,False,False,False,0.200,0.970,,2.290,0.200,0,10.4
55,ego,False,True,False,False,False,True,-0.313,0.800,5.150,3.010,-0.310,0,infs
55,ours,False,True,False,False,False,True,-0.149,0.410,4.620,1.480,-0.150,0,infs
56,ego,False,True,False,True,False,False,-0.323,0.850,-0.320,6.740,1.490,0,infs
56,ours,True,False,False,False,False,False,0.533,1.170,2.050,1.700,0.530,0,9.1
57,ego,False,True,False,False,False,True,-0.035,1.230,11.800,3.030,-0.030,0,infs
57,ours,True,False,False,False,False,False,0.132,0.960,6.400,5.140,0.130,0,11.2
58,ego,False,True,False,False,False,True,-0.410,9.260,3.060,,-0.410,0,infs
58,ours,True,False,False,False,False,False,0.310,0.880,2.430,0.560,0.310,0,9.3
59,ego,True,False,False,False,False,False,0.570,0.570,8.640,3.330,1.900,0,9.0
59,ours,True,False,False,False,False,False,0.668,1.290,8.050,1.370,0.670,0,11.4
60,ego,True,False,False,False,False,False,0.396,2.120,6.990,0.930,0.400,0,9.7
60,ours,True,False,False,False,False,False,0.429,2.120,6.930,1.400,0.430,0,9.6
