planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
ego,off,4,1,3.0,0.05,True,0,1.569,4.8,1.5,0,0
ego,off,4,2,3.0,0.05,True,0,0.227,7.8,1.5,0,0
ego,off,4,3,3.0,0.05,True,0,0.834,7.2,1.5,0,0
ego,off,4,4,3.0,0.05,True,0,1.386,4.8,1.5,0,0
ego,off,4,5,3.0,0.05,True,0,1.925,5.1,1.5,0,0
ego,off,5,0,3.0,0.05,True,0,1.547,5.1,1.5,0,0
ego,off,5,1,3.0,0.05,True,0,0.05,9.9,1.5,0,0
ego,off,5,2,3.0,0.05,True,0,1.054,6.3,1.5,0,0
ego,off,5,3,3.0,0.05,True,0,1.314,4.8,1.5,0,0
ego,off,5,4,3.0,0.05,True,0,0.901,7.2,1.5,0,0
ego,off,5,5,3.0,0.05,True,0,0.006,7.8,1.5,0,0
ego,off,6,0,3.0,0.05,True,0,1.546,5.1,1.5,0,0
ego,off,6,1,3.0,0.05,True,0,1.584,5.1,1.5,0,0
ego,off,6,2,3.0,0.05,True,0,0.725,7.5,1.5,0,0
ego,off,6,3,3.0,0.05,True,1,-0.25,7.5,1.5,0,0
ego,off,6,4,3.0,0.05,True,1,-0.058,7.8,1.5,0,0
ego,off,6,5,3.0,0.05,True,1,-0.165,7.5,1.5,0,0
ego,off,7,0,3.0,0.05,True,1,-0.153,8.4,1.5,0,0
ego,off,7,1,3.0,0.05,True,0,1.517,5.1,1.5,0,0
ego,off,7,2,3.0,0.05,True,0,1.192,4.8,1.5,0,0
ego,off,7,3,3.0,0.05,True,0,1.357,4.8,1.5,0,0
ego,off,7,4,3.0,0.05,True,0,1.021,5.4,1.5,0,0
ego,off,7,5,3.0,0.05,True,0,1.378,5.1,1.5,0,0
ego,off,8,0,3.0,0.05,True,0,0.851,7.5,3.53,0,0
ego,off,8,1,3.0,0.05,True,0,1.454,5.1,1.5,0,0
ego,off,8,2,3.0,0.05,True,0,1.465,5.4,1.51,0,0
ego,off,8,3,3.0,0.05,True,0,1.076,16.5,1.54,0,0
ego,off,8,4,3.0,0.05,True,0,0.843,7.2,1.8,0,0
ego,off,8,5,3.0,0.05,True,0,0.691,7.5,1.53,0,0
ego,off,9,0,3.0,0.05,True,0,1.455,5.1,1.5,0,0
ego,off,9,1,3.0,0.05,True,0,0.128,7.8,1.52,0,0
ego,off,9,2,3.0,0.05,True,0,0.841,7.5,1.5,0,0
ego,off,9,3,3.0,0.05,True,0,0.375,7.8,1.5,0,0
ego,off,9,4,3.0,0.05,True,0,1.266,5.7,1.5,0,0
ego,off,9,5,3.0,0.05,True,0,1.708,5.1,3.72,0,0
ego,off,0,0,4.0,0.05,True,0,0.327,6.9,1.5,0,0
ego,off,0,1,4.0,0.05,True,0,1.218,3.9,3.19,0,0
ego,off,0,2,4.0,0.05,True,0,1.354,3.9,1.5,0,0
ego,off,0,3,4.0,0.05,True,0,1.576,3.9,1.5,0,0
ego,off,0,4,4.0,0.05,True,0,0.476,7.2,1.5,0,0
ego,off,0,5,4.0,0.05,True,0,1.737,3.9,1.51,0,0
ego,off,1,0,4.0,0.05,True,0,0.247,11.1,1.5,0,0
ego,off,1,1,4.0,0.05,True,0,1.262,3.9,1.5,0,0
ego,off,1,2,4.0,0.05,True,0,0.994,6.0,1.5,0,0
ego,off,1,3,4.0,0.05,True,0,1.482,3.9,1.5,0,0
ego,off,1,4,4.0,0.05,True,0,1.238,4.5,3.45,0,0
ego,off,1,5,4.0,0.05,True,0,1.511,4.2,3.79,0,0
ego,off,2,0,4.0,0.05,True,0,1.454,3.9,1.5,0,0
ego,off,2,1,4.0,0.05,True,0,1.011,5.1,1.5,0,0
ego,off,2,2,4.0,0.05,True,0,0.772,6.6,1.5,0,0
ego,off,2,3,4.0,0.05,True,0,0.376,6.9,2.48,0,0
ego,off,2,4,4.0,0.05,True,0,0.555,6.9,1.5,0,0
ego,off,2,5,4.0,0.05,True,0,0.771,6.3,1.5,0,0
ego,off,3,0,4.0,0.05,True,0,1.443,4.5,1.5,0,0
ego,off,3,1,4.0,0.05,True,0,0.971,4.8,1.5,0,0
ego,off,3,2,4.0,0.05,True,0,0.173,6.9,1.5,0,0
ego,off,3,3,4.0,0.05,True,1,-0.086,8.1,1.5,0,0
ego,off,3,4,4.0,0.05,True,0,1.191,3.9,1.5,0,0
ego,off,3,5,4.0,0.05,True,0,1.486,5.1,4.03,0,0
ego,off,4,0,4.0,0.05,True,0,0.424,7.2,1.5,0,0
ego,off,4,1,4.0,0.05,False,1,-0.186,14.4,1.5,0,0
ego,off,4,2,4.0,0.05,True,0,0.034,6.9,1.5,0,0
ego,off,4,3,4.0,0.05,True,0,1.109,6.3,1.5,0,0
ego,off,4,4,4.0,0.05,True,0,1.602,4.2,1.5,0,0
ego,off,4,5,4.0,0.05,True,0,1.686,4.8,1.5,0,0
ego,off,5,0,4.0,0.05,True,0,0.428,6.6,1.5,0,0
ego,off,5,1,4.0,0.05,True,0,0.265,8.4,1.5,0,0
ego,off,5,2,4.0,0.05,True,1,-0.074,10.5,1.5,0,0
ego,off,5,3,4.0,0.05,True,0,1.229,5.1,1.5,0,0
ego,off,5,4,4.0,0.05,True,0,1.033,6.3,1.5,0,0
