seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
35,ego,False,True,False,False,True,False,False,-0.106,1.120,-0.110,2.930,0.570,0,infs
35,ours,True,False,False,False,False,False,False,0.296,1.250,10.250,3.130,0.300,0,13.6
36,ego,True,False,False,False,False,False,False,0.528,0.530,16.840,2.030,0.690,0,9.0
36,ours,True,False,False,False,False,False,False,1.410,1.410,19.460,3.070,2.070,0,9.9
37,ego,False,True,False,False,False,False,True,-0.360,2.280,3.630,18.310,-0.360,0,infs
37,ours,True,False,False,False,False,False,False,0.338,1.710,3.630,4.260,0.340,0,8.7
38,ego,True,False,False,False,False,False,False,0.378,3.540,25.120,0.760,0.380,0,9.7
38,ours,True,False,False,False,False,False,False,0.185,2.630,25.120,2.080,0.190,0,10.0
39,ego,False,True,False,False,False,False,False,-0.005,1.110,14.800,4.910,-0.000,0,infs
39,ours,True,False,False,False,False,False,False,0.350,1.800,12.680,0.850,0.350,0,11.2
40,ego,True,False,False,False,False,False,False,0.169,0.720,25.710,2.470,0.170,0,9.0
40,ours,True,False,False,False,False,False,False,0.226,1.840,25.060,2.680,0.230,0,9.6
41,ego,True,False,False,False,False,False,False,0.399,0.720,11.190,0.400,0.480,0,9.0
41,ours,True,False,False,False,False,False,False,0.682,1.690,12.510,1.610,0.680,0,9.0
42,ego,False,True,False,False,False,False,True,-0.049,0.200,7.950,1.660,-0.050,0,infs
42,ours,True,False,False,False,False,False,False,0.314,1.490,7.480,1.670,0.310,0,12.0
43,ego,True,False,False,False,False,False,False,0.281,1.770,14.830,4.900,0.280,0,8.7
43,ours,True,False,False,False,False,False,False,0.382,2.270,14.870,5.050,0.380,0,8.7
44,ego,True,False,False,False,False,False,False,0.082,1.210,0.990,0.080,0.410,0,9.1
44,ours,True,False,False,False,False,False,False,0.243,2.500,5.210,1.490,0.240,0,9.6
45,ego,True,False,False,False,False,False,False,0.274,0.270,21.620,0.500,0.310,0,9.5
45,ours,True,False,False,False,False,False,False,0.238,1.550,8.680,9.410,0.240,0,10.0
46,ego,True,False,False,False,False,False,False,0.020,3.150,9.140,0.470,0.020,0,8.0
46,ours,True,False,False,False,False,False,False,0.486,2.790,19.030,2.720,0.490,0,9.5
47,ego,True,False,False,False,False,False,False,0.207,0.580,,0.820,0.210,0,9.7
47,ours,True,False,False,False,False,False,False,0.510,3.020,,1.960,0.510,0,10.6
48,ego,True,False,False,False,False,False,False,0.248,0.370,7.980,1.430,0.250,0,10.0
48,ours,True,False,False,False,False,False,False,0.185,1.590,4.600,3.310,0.190,0,10.2
49,ego,True,False,False,False,False,False,False,0.558,2.920,27.770,0.560,0.600,0,9.8
49,ours,True,False,False,False,False,False,False,0.541,3.260,28.320,2.890,0.540,0,9.7
50,ego,True,False,False,False,False,False,False,0.241,3.860,21.420,2.420,0.240,0,8.8
50,ours,True,False,False,False,False,False,False,0.241,3.860,21.420,2.420,0.240,0,8.8
51,ego,False,True,False,False,True,False,False,-0.296,4.170,-0.300,22.290,4.410,0,infs
51,ours,True,False,False,False,False,False,False,0.346,1.060,0.510,3.740,0.350,142,13.1
52,ego,True,False,False,False,False,False,False,0.392,2.940,,0.460,0.390,0,8.6
