planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
ego,off,2,2,3.0,0.05,True,0,2.161,3.6,3.97,0,1
ego,off,2,3,3.0,0.05,True,0,0.052,6.3,3.68,0,1
ego,off,2,4,3.0,0.05,True,0,2.196,3.6,4.91,0,1
ego,off,2,5,3.0,0.05,True,0,1.108,4.5,1.51,0,1
ego,off,3,0,3.0,0.05,True,0,3.575,3.9,4.57,0,1
ego,off,3,1,3.0,0.05,True,0,1.092,4.5,6.44,0,1
ego,off,3,2,3.0,0.05,True,0,3.074,4.2,5.46,0,1
ego,off,3,3,3.0,0.05,True,0,2.278,4.2,2.21,0,1
ego,off,3,4,3.0,0.05,True,0,2.912,4.5,4.63,0,1
ego,off,3,5,3.0,0.05,True,0,1.77,4.2,5.62,0,1
ego,off,4,0,3.0,0.05,True,0,1.719,3.6,4.15,0,1
ego,off,4,1,3.0,0.05,True,0,1.919,7.5,1.95,0,1
ego,off,4,2,3.0,0.05,True,0,1.866,5.4,4.48,0,1
ego,off,4,3,3.0,0.05,True,0,1.963,3.6,4.7,0,1
ego,off,4,4,3.0,0.05,True,0,1.047,5.7,2.53,0,1
ego,off,4,5,3.0,0.05,True,0,1.901,4.5,1.52,0,1
ego,off,5,0,3.0,0.05,True,0,1.376,4.8,4.89,0,1
ego,off,5,1,3.0,0.05,True,0,1.523,3.3,2.73,0,1
ego,off,5,2,3.0,0.05,True,0,2.115,3.9,3.28,0,1
ego,off,5,3,3.0,0.05,True,0,0.385,7.5,4.84,0,1
ego,off,5,4,3.0,0.05,True,0,1.587,4.5,4.43,0,1
ego,off,5,5,3.0,0.05,True,0,2.794,3.6,4.93,0,1
ego,off,6,0,3.0,0.05,True,0,2.686,3.6,4.5,0,1
ego,off,6,1,3.0,0.05,True,0,2.709,4.2,4.83,0,1
ego,off,6,2,3.0,0.05,True,0,2.765,3.6,4.52,0,1
ego,off,6,3,3.0,0.05,True,0,0.968,6.6,2.7,0,1
ego,off,6,4,3.0,0.05,True,0,2.983,4.2,4.52,0,1
ego,off,6,5,3.0,0.05,True,0,0.941,6.9,3.11,0,1
ego,off,7,0,3.0,0.05,True,0,2.264,3.6,2.91,0,1
ego,off,7,1,3.0,0.05,True,0,2.895,3.6,5.12,0,1
ego,off,7,2,3.0,0.05,True,0,1.145,6.0,5.93,0,1
ego,off,7,3,3.0,0.05,True,0,0.999,5.4,4.03,0,1
ego,off,7,4,3.0,0.05,True,0,2.181,5.4,1.71,0,1
ego,off,7,5,3.0,0.05,True,0,2.225,3.9,5.7,0,1
ego,off,8,0,3.0,0.05,True,0,3.006,4.5,5.36,0,1
ego,off,8,1,3.0,0.05,False,0,0.641,12.9,1.54,0,1
ego,off,8,2,3.0,0.05,True,0,1.484,4.2,5.68,0,1
ego,off,8,3,3.0,0.05,True,0,0.844,8.4,2.95,0,1
ego,off,8,4,3.0,0.05,True,0,2.409,4.8,5.69,0,1
ego,off,8,5,3.0,0.05,True,1,-0.222,5.7,1.55,0,1
ego,off,9,0,3.0,0.05,True,0,0.637,5.1,4.89,0,1
ego,off,9,1,3.0,0.05,True,0,2.446,4.2,5.05,0,1
ego,off,9,2,3.0,0.05,True,0,1.322,6.9,7.42,0,1
ego,off,9,3,3.0,0.05,True,0,0.568,11.1,5.01,0,1
ego,off,9,4,3.0,0.05,True,0,1.844,8.4,1.67,0,1
ego,off,9,5,3.0,0.05,True,0,0.889,4.2,2.24,0,1
ego,off,0,0,4.0,0.05,True,0,2.039,3.0,1.63,0,1
ego,off,0,1,4.0,0.05,True,0,1.286,3.3,1.51,0,1
ego,off,0,2,4.0,0.05,True,0,1.791,3.6,1.53,0,1
ego,off,0,3,4.0,0.05,True,0,3.38,4.5,2.44,0,1
ego,off,0,4,4.0,0.05,True,0,3.015,3.9,3.19,0,1
ego,off,0,5,4.0,0.05,True,0,3.314,3.9,6.0,0,1
ego,off,1,0,4.0,0.05,True,0,0.199,7.5,2.13,0,1
ego,off,1,1,4.0,0.05,True,0,2.016,3.6,3.36,0,1
ego,off,1,2,4.0,0.05,True,0,0.136,5.4,1.94,0,1
ego,off,1,3,4.0,0.05,True,0,3.429,3.0,3.57,0,1
ego,off,1,4,4.0,0.05,True,0,2.303,5.7,5.07,0,1
ego,off,1,5,4.0,0.05,True,0,3.74,5.1,5.29,0,1
ego,off,2,0,4.0,0.05,True,0,2.869,2.7,2.43,0,1
ego,off,2,1,4.0,0.05,True,0,1.764,3.6,2.61,0,1
ego,off,2,2,4.0,0.05,True,0,0.402,5.1,1.58,0,1
ego,off,2,3,4.0,0.05,True,0,1.842,5.4,4.81,0,1
ego,off,2,4,4.0,0.05,True,0,2.137,4.2,4.07,0,1
ego,off,2,5,4.0,0.05,True,0,1.606,3.0,5.41,0,1
ego,off,3,0,4.0,0.05,True,0,1.893,2.4,1.8,0,1
ego,off,3,1,4.0,0.05,True,0,2.573,3.6,1.52,0,1
ego,off,3,2,4.0,0.05,True,0,0.608,6.6,1.62,0,1
ego,off,3,3,4.0,0.05,True,0,2.563,3.3,1.64,0,1
ego,off,3,4,4.0,0.05,True,0,3.038,3.6,3.95,0,1
ego,off,3,5,4.0,0.05,True,1,-0.042,9.3,1.52,0,1
ego,off,4,0,4.0,0.05,True,0,1.514,3.0,2.54,0,1
ego,off,4,1,4.0,0.05,True,0,0.778,3.3,2.23,0,1
ego,off,4,2,4.0,0.05,True,0,1.674,3.3,2.52,0,1
ego,off,4,3,4.0,0.05,True,0,1.985,3.6,3.0,0,1
ego,off,4,4,4.0,0.05,True,0,2.492,3.3,2.21,0,1
ego,off,4,5,4.0,0.05,True,0,1.809,2.7,1.75,0,1
ego,off,5,0,4.0,0.05,True,0,0.785,5.7,3.44,0,1
