seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
37,ours,True,False,False,False,False,False,0.271,1.8,3.63,4.31,0.27,0,8.8
37,ego,False,True,False,False,False,True,-0.360,2.28,3.63,18.31,-0.36,0,infs
38,ours,True,False,False,False,False,False,0.176,1.47,25.12,1.68,0.18,0,10.4
38,ego,True,False,False,False,False,False,0.378,3.54,25.12,0.76,0.38,0,9.7
39,ours,True,False,False,False,False,False,0.445,1.08,21.81,2.92,0.44,0,10.2
39,ego,False,True,False,False,False,False,-0.005,1.11,14.8,4.91,-0.0,0,infs
40,ours,True,False,False,False,False,False,0.298,1.07,25.71,2.43,0.3,0,9.2
40,ego,True,False,False,False,False,False,0.169,0.72,25.71,2.47,0.17,0,9.0
41,ours,True,False,False,False,False,False,0.642,0.94,12.89,1.61,0.64,0,9.2
41,ego,True,False,False,False,False,False,0.399,0.72,11.19,0.4,0.48,0,9.0
42,ours,True,False,False,False,False,False,0.044,0.82,8.69,8.81,0.04,137,13.0
42,ego,False,True,False,False,False,True,-0.049,0.2,7.95,1.66,-0.05,0,infs
43,ours,True,False,False,False,False,False,0.633,1.78,11.03,1.85,0.63,0,9.4
43,ego,True,False,False,False,False,False,0.281,1.77,14.83,4.9,0.28,0,8.7
44,ours,True,False,False,False,False,False,0.258,1.13,1.5,1.51,0.26,0,9.4
44,ego,True,False,False,False,False,False,0.082,1.21,0.99,0.08,0.41,0,9.1
45,ours,False,True,False,False,False,True,-0.026,2.52,20.82,9.35,-0.03,1199,infs
45,ego,True,False,False,False,False,False,0.274,0.27,21.62,0.5,0.31,0,9.5
46,ours,True,False,False,False,False,False,0.471,2.19,12.54,2.27,0.47,0,8.6
46,ego,True,False,False,False,False,False,0.020,3.15,9.14,0.47,0.02,0,8.0
47,ours,True,False,False,False,False,False,0.370,3.26,27.77,1.04,0.37,0,11.3
47,ego,True,False,False,False,False,False,0.207,0.58,,0.82,0.21,0,9.7
48,ours,True,False,False,False,False,False,0.590,1.11,4.38,4.84,0.59,0,9.7
48,ego,True,False,False,False,False,False,0.248,0.37,7.98,1.43,0.25,0,10.0
