seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
35,ego,False,True,False,False,False,False,True,-0.241,0.300,26.540,24.590,-0.240,0,infs
35,ours,True,False,False,False,False,False,False,0.228,1.170,8.860,2.360,0.230,0,13.3
36,ego,True,False,False,False,False,False,False,0.290,0.530,16.520,2.030,0.290,0,8.8
36,ours,True,False,False,False,False,False,False,0.795,0.790,23.520,5.310,0.940,0,12.7
37,ego,True,False,False,False,False,False,False,0.321,1.450,3.630,3.190,0.320,16,8.9
37,ours,True,False,False,False,False,False,False,0.577,1.280,3.630,2.050,0.580,0,9.5
38,ego,True,False,False,False,False,False,False,0.378,3.540,25.120,0.760,0.380,0,9.7
38,ours,True,False,False,False,False,False,False,0.491,1.580,25.440,2.050,0.490,0,10.3
39,ego,True,False,False,False,False,False,False,0.315,0.610,19.260,1.280,0.310,0,9.2
39,ours,True,False,False,False,False,False,False,0.414,2.050,16.410,2.120,0.410,0,11.8
40,ego,True,False,False,False,False,False,False,0.190,0.200,25.710,2.460,0.190,0,9.3
40,ours,True,False,False,False,False,False,False,0.369,1.610,25.710,2.410,0.370,0,9.0
41,ego,True,False,False,False,False,False,False,0.399,0.720,11.190,0.400,0.480,0,9.0
41,ours,True,False,False,False,False,False,False,0.407,1.430,18.030,4.190,0.410,0,9.0
42,ego,False,True,False,False,False,False,True,-0.057,0.600,7.950,6.490,-0.060,0,infs
42,ours,True,False,False,False,False,False,False,0.289,1.230,7.500,4.750,0.290,0,12.6
43,ego,True,False,False,False,False,False,False,0.407,1.670,15.150,3.850,0.410,0,8.8
43,ours,True,False,False,False,False,False,False,1.284,1.840,15.850,5.070,1.280,0,8.7
44,ego,True,False,False,False,False,False,False,0.556,0.870,7.690,5.550,0.560,0,9.5
44,ours,True,False,False,False,False,False,False,0.229,1.740,4.580,1.730,0.230,0,9.2
45,ego,True,False,False,False,False,False,False,0.294,1.050,16.590,3.230,0.290,0,9.4
45,ours,True,False,False,False,False,False,False,0.206,0.990,9.630,9.180,0.210,0,10.5
46,ego,False,True,False,False,False,False,True,-0.060,3.690,16.250,0.470,-0.060,0,infs
46,ours,True,False,False,False,False,False,False,0.474,2.300,14.190,2.480,0.470,0,8.9
47,ego,True,False,False,False,False,False,False,0.360,0.450,,0.820,0.360,0,9.7
47,ours,True,False,False,False,False,False,False,0.352,3.170,,2.530,0.350,0,11.1
48,ego,True,False,False,False,False,False,False,0.129,0.130,8.280,1.100,0.480,0,9.8
48,ours,False,True,False,False,False,False,True,-0.235,1.250,11.660,2.340,-0.240,0,infs
49,ego,True,False,False,False,False,False,False,0.558,2.920,27.770,0.560,0.600,0,9.8
49,ours,True,False,False,False,False,False,False,0.611,3.720,27.810,2.150,0.610,0,9.7
50,ego,False,True,False,False,False,False,False,-0.002,4.550,21.420,2.420,-0.000,0,infs
50,ours,True,False,False,False,False,False,False,0.217,4.550,21.420,1.870,0.220,0,9.6
51,ego,False,True,False,False,True,False,False,-0.296,4.170,-0.300,22.290,4.410,0,infs
51,ours,True,False,False,False,False,False,False,0.220,1.190,0.700,1.380,0.220,0,13.7
52,ego,False,True,False,False,False,False,True,-0.051,3.900,,0.590,-0.050,0,infs
52,ours,True,False,False,False,False,False,False,0.245,1.590,,2.010,0.240,0,19.4
53,ego,True,False,False,False,False,False,False,0.676,0.680,,1.230,7.760,0,9.7
53,ours,True,False,False,False,False,False,False,1.971,1.970,,2.340,7.760,0,9.7
54,ego,False,True,False,False,False,False,True,-0.331,0.680,,0.310,-0.330,0,infs
54,ours,True,False,False,False,False,False,False,0.578,1.110,,2.510,0.580,0,10.6
55,ego,False,True,False,False,False,False,True,-0.662,0.490,6.750,2.520,-0.660,0,infs
55,ours,False,True,False,False,False,False,True,-0.237,1.310,1.760,1.980,-0.240,0,infs
56,ego,True,False,False,False,False,False,False,0.133,0.160,1.110,0.750,0.130,0,7.9
56,ours,False,True,False,False,True,False,False,-0.046,1.580,-0.050,7.590,0.410,0,infs
57,ego,True,False,False,False,False,False,False,0.252,0.550,0.720,6.830,0.250,0,8.9
57,ours,True,False,False,False,False,False,False,0.126,1.240,12.650,2.120,0.130,0,12.4
58,ego,False,True,False,False,False,False,True,-0.437,9.210,3.070,,-0.440,0,infs
58,ours,True,False,False,False,False,False,False,0.441,1.230,2.000,2.700,0.440,0,9.4
59,ego,True,False,False,False,False,False,False,0.570,0.570,8.640,3.330,1.900,0,9.0
59,ours,True,False,False,False,False,False,False,0.747,1.060,8.580,2.020,0.750,0,9.8
60,ego,True,False,False,False,False,False,False,0.540,2.120,6.870,0.870,0.540,0,9.6
60,ours,True,False,False,False,False,False,False,0.442,2.120,8.170,1.200,0.440,0,10.7
61,ego,True,False,False,False,False,False,False,0.691,0.870,6.150,4.170,0.690,0,8.8
61,ours,True,False,False,False,False,False,False,1.049,1.530,6.630,4.760,1.050,0,8.6
62,ego,True,False,False,False,False,False,False,0.225,0.270,,5.270,0.220,0,9.4
62,ours,True,False,False,False,False,False,False,0.167,1.050,,1.920,0.170,0,10.9
63,ego,False,True,False,False,True,False,False,-0.238,4.510,-0.240,21.290,2.790,0,infs
63,ours,True,False,False,False,False,False,False,0.154,1.670,0.150,3.320,0.580,0,12.4
64,ego,True,False,False,False,False,False,False,0.457,0.510,13.330,1.560,0.460,0,7.7
64,ours,True,False,False,False,False,False,False,0.475,1.290,14.710,1.280,0.470,0,9.4
65,ego,True,False,False,False,False,False,False,0.208,0.210,,1.670,1.110,0,9.7
65,ours,True,False,False,False,False,False,False,0.616,1.130,,2.500,0.620,0,9.7
66,ego,False,True,False,True,False,False,False,-0.242,-0.240,25.140,3.470,0.090,0,infs
