seed,mode,reached,collided,dnf,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
30,ours,True,False,False,False,False,False,False,0.595,2.290,,2.420,0.600,0,9.8
31,ego,False,True,False,False,False,False,True,-0.753,3.030,4.280,2.430,-0.750,0,infs
31,ours,False,False,False,False,False,False,False,0.758,2.710,4.490,1.180,0.760,0,infs
32,ego,False,True,False,False,False,False,True,-0.256,1.550,5.300,11.470,-0.260,0,infs
32,ours,True,False,False,False,False,False,False,0.479,0.810,5.300,7.090,0.480,0,11.2
33,ego,False,True,False,False,False,False,True,-0.039,1.360,,4.900,-0.040,0,infs
33,ours,True,False,False,False,False,False,False,0.684,1.990,,2.990,0.680,0,11.4
34,ego,True,False,False,False,False,False,False,0.284,1.160,26.850,0.280,0.510,0,9.2
34,ours,True,False,False,False,False,False,False,0.543,1.700,26.850,3.600,0.540,0,11.8
35,ego,False,True,False,False,False,False,True,-0.241,0.300,26.540,24.590,-0.240,0,infs
35,ours,True,False,False,False,False,False,False,0.327,0.330,5.070,2.330,0.540,7,12.9
36,ego,True,False,False,False,False,False,False,0.290,0.530,16.520,2.030,0.290,0,8.8
36,ours,True,False,False,False,False,False,False,0.795,0.790,23.520,5.310,0.940,0,12.7
37,ego,True,False,False,False,False,False,False,0.321,1.450,3.630,3.190,0.320,16,8.9
37,ours,True,False,False,False,False,False,False,0.558,2.120,3.630,3.480,0.560,0,9.6
38,ego,True,False,False,False,False,False,False,0.378,3.540,25.120,0.760,0.380,0,9.7
38,ours,True,False,False,False,False,False,False,0.714,2.910,25.440,2.610,0.710,0,10.5
39,ego,True,False,False,False,False,False,False,0.315,0.610,19.260,1.280,0.310,0,9.2
39,ours,True,False,False,False,False,False,False,0.469,1.150,12.120,4.890,0.470,0,13.2
40,ego,True,False,False,False,False,False,False,0.190,0.200,25.710,2.460,0.190,0,9.3
40,ours,True,False,False,False,False,False,False,0.956,1.610,24.430,3.110,0.960,0,9.8
41,ego,True,False,False,False,False,False,False,0.399,0.720,11.190,0.400,0.480,0,9.0
41,ours,True,False,False,False,False,False,False,0.588,1.430,12.170,1.560,0.590,0,9.0
42,ego,False,True,False,False,False,False,True,-0.057,0.600,7.950,6.490,-0.060,0,infs
42,ours,True,False,False,False,False,False,False,0.644,1.030,6.120,6.380,0.640,0,11.8
43,ego,True,False,False,False,False,False,False,0.407,1.670,15.150,3.850,0.410,0,8.8
43,ours,True,False,False,False,False,False,False,0.611,1.790,15.270,4.680,0.610,0,8.8
44,ego,True,False,False,False,False,False,False,0.556,0.870,7.690,5.550,0.560,0,9.5
44,ours,True,False,False,False,False,False,False,0.730,1.530,1.240,2.360,0.730,0,9.1
45,ego,True,False,False,False,False,False,False,0.294,1.050,16.590,3.230,0.290,0,9.4
45,ours,True,False,False,False,False,False,False,0.639,1.700,9.130,8.370,0.640,0,10.4
46,ego,False,True,False,False,False,False,True,-0.060,3.690,16.250,0.470,-0.060,0,infs
46,ours,True,False,False,False,False,False,False,0.579,1.730,16.430,2.770,0.580,0,8.4
47,ego,True,False,False,False,False,False,False,0.360,0.450,,0.820,0.360,0,9.7
47,ours,True,False,False,False,False,False,False,0.575,1.860,,2.530,0.570,0,10.2
48,ego,True,False,False,False,False,False,False,0.129,0.130,8.280,1.100,0.480,0,9.8
48,ours,True,False,False,False,False,False,False,0.581,1.250,11.680,2.340,0.580,0,10.1
49,ego,True,False,False,False,False,False,False,0.558,2.920,27.770,0.560,0.600,0,9.8
49,ours,True,False,False,False,False,False,False,0.611,3.720,27.810,2.150,0.610,0,9.7
50,ego,False,True,False,False,False,False,False,-0.002,4.550,21.420,2.420,-0.000,0,infs
50,ours,True,False,False,False,False,False,False,0.519,4.550,21.420,1.450,0.520,0,10.7
51,ego,False,True,False,False,True,False,False,-0.296,4.170,-0.300,22.290,4.410,0,infs
51,ours,True,False,False,False,False,False,False,0.512,1.310,0.830,3.880,0.510,0,15.0
52,ego,False,True,False,False,False,False,True,-0.051,3.900,,0.590,-0.050,0,infs
52,ours,True,False,False,False,False,False,False,0.675,2.880,,2.010,0.680,0,10.3
53,ego,True,False,False,False,False,False,False,0.676,0.680,,1.230,7.760,0,9.7
53,ours,True,False,False,False,False,False,False,1.971,1.970,,2.340,7.760,0,9.7
54,ego,False,True,False,False,False,False,True,-0.331,0.680,,0.310,-0.330,0,infs
54,ours,True,False,False,False,False,False,False,0.475,0.640,,2.410,0.470,0,12.8
55,ego,False,True,False,False,False,False,True,-0.662,0.490,6.750,2.520,-0.660,0,infs
55,ours,False,False,False,False,False,False,False,0.521,1.310,2.990,0.720,0.520,0,infs
56,ego,True,False,False,False,False,False,False,0.133,0.160,1.110,0.750,0.130,0,7.9
56,ours,False,True,False,False,True,False,False,-0.131,1.710,-0.130,7.590,0.920,0,infs
57,ego,True,False,False,False,False,False,False,0.252,0.550,0.720,6.830,0.250,0,8.9
57,ours,True,False,False,False,False,False,False,0.457,1.240,13.120,0.460,0.490,0,15.1
58,ego,False,True,False,False,False,False,True,-0.437,9.210,3.070,,-0.440,0,infs
58,ours,True,False,False,False,False,False,False,0.677,0.960,2.000,2.600,0.680,0,9.5
59,ego,True,False,False,False,False,False,False,0.570,0.570,8.640,3.330,1.900,0,9.0
59,ours,True,False,False,False,False,False,False,1.057,1.060,8.640,1.440,1.390,0,9.4
60,ego,True,False,False,False,False,False,False,0.540,2.120,6.870,0.870,0.540,0,9.6
60,ours,True,False,False,False,False,False,False,0.540,2.120,6.800,1.630,0.540,0,9.6
61,ego,True,False,False,False,False,False,False,0.691,0.870,6.150,4.170,0.690,0,8.8
61,ours,True,False,False,False,False,False,False,1.049,1.530,6.630,4.760,1.050,0,8.6
62,ego,True,False,False,False,False,False,False,0.225,0.270,,5.270,0.220,0,9.4
62,ours,True,False,False,False,False,False,False,0.362,0.550,,5.880,0.360,0,10.8
63,ego,False,True,False,False,True,False,False,-0.238,4.510,-0.240,21.290,2.790,0,infs
63,ours,True,False,False,False,False,False,False,0.154,1.700,0.150,5.120,0.680,0,11.8
64,ego,True,False,False,False,False,False,False,0.457,0.510,13.330,1.560,0.460,0,7.7
64,ours,True,False,False,False,False,False,False,0.654,1.290,12.560,1.280,0.650,180,11.0
65,ego,True,False,False,False,False,False,False,0.208,0.210,,1.670,1.110,0,9.7
65,ours,True,False,False,False,False,False,False,0.668,0.670,,2.430,1.220,0,13.7
66,ego,False,True,False,True,False,False,False,-0.242,-0.240,25.140,3.470,0.090,0,infs
66,ours,True,False,False,False,False,False,False,0.611,1.650,,2.520,0.610,0,10.8
67,ego,False,True,False,False,False,False,True,-0.107,0.490,18.810,15.290,-0.110,0,infs
67,ours,True,False,False,False,False,False,False,0.499,1.430,18.850,2.590,0.500,0,13.4
68,ego,False,True,False,False,False,False,False,-0.004,2.760,,21.540,-0.000,0,infs
68,ours,True,False,False,False,False,False,False,0.651,1.830,20.840,1.730,0.650,0,8.7
69,ego,True,False,False,False,False,False,False,0.590,0.590,16.280,3.280,6.500,0,9.8
69,ours,True,False,False,False,False,False,False,1.309,1.310,16.280,2.390,8.340,0,10.5
70,ego,True,False,False,False,False,False,False,0.295,1.190,0.840,1.320,0.300,0,8.9
70,ours,True,False,False,False,False,False,False,0.970,1.300,2.060,4.160,0.970,21,10.0
71,ego,True,False,False,False,False,False,False,0.023,0.530,25.090,0.470,0.020,0,9.1
71,ours,True,False,False,False,False,False,False,0.646,1.010,25.050,1.560,0.650,0,10.0
72,ego,False,True,False,False,False,False,True,-0.098,0.500,10.820,3.510,-0.100,0,infs
72,ours,True,False,False,False,False,False,False,0.626,0.740,16.540,4.230,0.630,0,13.4
73,ego,True,False,False,False,False,False,False,0.359,1.710,2.340,1.140,0.360,0,9.4
73,ours,True,False,False,False,False,False,False,0.471,1.180,9.090,1.790,0.470,0,10.6
74,ego,True,False,False,False,False,False,False,0.212,1.590,17.580,0.210,0.490,0,7.9
74,ours,True,False,False,False,False,False,False,0.810,2.670,20.730,1.520,0.810,0,8.5
75,ego,False,True,False,False,False,False,True,-0.308,0.430,0.440,0.370,-0.310,0,infs
75,ours,False,False,False,False,False,False,False,0.375,1.950,12.740,24.940,0.370,0,infs
76,ego,True,False,False,False,False,False,False,0.120,0.960,3.590,0.290,0.120,0,7.9
76,ours,True,False,False,False,False,False,False,0.471,0.960,3.590,3.160,0.470,0,8.4
77,ego,True,False,False,False,False,False,False,0.206,1.960,,1.070,0.210,0,8.5
77,ours,True,False,False,False,False,False,False,0.665,1.960,,1.880,0.670,0,8.5
78,ego,False,True,False,False,False,False,True,-0.015,2.530,0.090,0.160,-0.010,0,infs
78,ours,True,False,False,False,False,False,False,0.074,1.320,0.070,4.000,0.870,0,11.0
79,ego,True,False,False,False,False,False,False,0.348,0.810,14.960,0.350,0.670,0,9.4
79,ours,True,False,False,False,False,False,False,0.871,1.620,14.960,1.820,0.870,0,10.8
80,ego,True,False,False,False,False,False,False,0.290,1.500,0.560,0.290,0.300,0,9.5
80,ours,True,False,False,False,False,False,False,0.512,1.250,0.640,3.900,0.510,0,12.2
81,ego,True,False,False,False,False,False,False,0.111,0.310,,0.550,0.110,0,9.5
81,ours,True,False,False,False,False,False,False,0.499,1.900,,5.240,0.500,0,10.3
82,ego,True,False,False,False,False,False,False,0.531,0.730,5.530,1.050,0.530,0,9.5
82,ours,True,False,False,False,False,False,False,0.714,1.490,6.190,1.580,0.710,0,9.5
83,ego,False,True,False,False,False,False,True,-0.083,0.960,,12.000,-0.080,0,infs
83,ours,True,False,False,False,False,False,False,0.702,1.280,,5.300,0.700,137,11.1
84,ego,True,False,False,False,False,False,False,0.055,0.050,,1.720,1.170,0,9.7
84,ours,True,False,False,False,False,False,False,0.555,1.320,,2.380,0.550,0,11.1
85,ego,True,False,False,False,False,False,False,0.567,0.810,14.580,1.120,0.570,0,9.3
85,ours,True,False,False,False,False,False,False,0.598,1.590,15.060,2.850,0.600,1,11.3
86,ego,False,True,False,False,False,False,True,-0.044,0.210,14.720,0.460,-0.040,0,infs
86,ours,True,False,False,False,False,False,False,0.579,2.240,6.020,2.560,0.580,0,11.9
87,ego,True,False,False,False,False,False,False,0.400,0.570,,0.400,1.820,0,8.4
87,ours,True,False,False,False,False,False,False,0.637,1.110,,2.600,0.640,21,11.4
88,ego,True,False,False,False,False,False,False,0.323,0.450,,0.320,1.350,0,9.2
88,ours,True,False,False,False,False,False,False,1.648,1.740,,1.970,1.650,0,11.6
89,ego,True,False,False,False,False,False,False,0.528,0.720,,2.450,0.530,0,9.0
89,ours,True,False,False,False,False,False,False,1.276,1.380,,3.420,1.280,0,9.1
90,ego,True,False,False,False,False,False,False,0.216,0.220,,1.690,0.640,0,8.8
90,ours,True,False,False,False,False,False,False,0.629,1.060,,3.820,0.630,0,10.7
91,ego,True,False,False,False,False,False,False,0.303,0.380,11.570,1.490,0.300,0,9.3
91,ours,True,False,False,False,False,False,False,0.520,1.510,8.550,2.820,0.520,0,12.0
92,ego,True,False,False,False,False,False,False,0.214,0.210,5.930,0.720,3.140,0,7.4
92,ours,True,False,False,False,False,False,False,0.992,0.990,7.560,2.400,2.470,0,8.7
93,ego,True,False,False,False,False,False,False,0.071,0.250,16.110,3.600,0.070,0,8.9
93,ours,True,False,False,False,False,False,False,0.662,1.700,10.610,2.350,0.660,0,9.7
94,ego,True,False,False,False,False,False,False,0.365,0.370,7.980,0.770,0.550,0,9.7
94,ours,True,False,False,False,False,False,False,0.493,1.720,7.980,2.800,0.490,0,13.4
95,ego,True,False,False,False,False,False,False,0.416,1.140,9.910,5.000,0.420,0,9.3
95,ours,True,False,False,False,False,False,False,0.476,1.290,3.220,0.940,0.480,0,10.0
96,ego,True,False,False,False,False,False,False,0.247,0.430,,0.880,0.250,0,8.6
96,ours,True,False,False,False,False,False,False,0.512,1.490,27.650,4.240,0.510,0,9.6
97,ego,True,False,False,False,False,False,False,0.193,0.190,11.950,1.070,0.280,0,8.4
97,ours,True,False,False,False,False,False,False,0.600,1.520,6.150,1.800,0.600,0,9.0
98,ego,True,False,False,False,False,False,False,0.263,0.820,,0.970,0.260,0,9.6
98,ours,True,False,False,False,False,False,False,1.163,1.160,,2.000,1.480,0,10.2
99,ego,False,True,False,True,False,False,False,-0.156,-0.160,1.630,0.390,0.280,1,infs
99,ours,True,False,False,False,False,False,False,0.565,0.950,1.660,3.810,0.570,0,9.8
