seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
37,ego,False,True,False,False,False,True,-0.360,2.280,3.630,18.310,-0.360,0,infs
37,ours,True,False,False,False,False,False,0.261,1.220,3.630,9.160,0.260,0,9.5
38,ego,True,False,False,False,False,False,0.378,3.540,25.120,0.760,0.380,0,9.7
38,ours,True,False,False,False,False,False,0.388,2.830,25.120,0.980,0.390,0,11.2
39,ego,False,True,False,False,False,False,-0.005,1.110,14.800,4.910,-0.000,0,infs
39,ours,True,False,False,False,False,False,0.335,2.050,20.080,1.660,0.340,0,10.6
40,ego,True,False,False,False,False,False,0.169,0.720,25.710,2.470,0.170,0,9.0
40,ours,True,False,False,False,False,False,0.298,1.080,25.710,2.430,0.300,0,9.8
41,ego,True,False,False,False,False,False,0.399,0.720,11.190,0.400,0.480,0,9.0
41,ours,True,False,False,False,False,False,0.642,1.350,12.370,1.540,0.640,0,9.0
42,ego,False,True,False,False,False,True,-0.049,0.200,7.950,1.660,-0.050,0,infs
42,ours,True,False,False,False,False,False,0.190,1.280,8.690,4.880,0.190,0,10.7
43,ego,True,False,False,False,False,False,0.281,1.770,14.830,4.900,0.280,0,8.7
43,ours,True,False,False,False,False,False,0.633,1.950,11.130,1.770,0.630,0,9.5
44,ego,True,False,False,False,False,False,0.082,1.210,0.990,0.080,0.410,0,9.1
44,ours,True,False,False,False,False,False,0.344,1.530,5.170,1.720,0.340,0,9.3
45,ego,True,False,False,False,False,False,0.274,0.270,21.620,0.500,0.310,0,9.5
45,ours,True,False,False,False,False,False,0.361,1.440,9.540,9.250,0.360,0,10.4
46,ego,True,False,False,False,False,False,0.020,3.150,9.140,0.470,0.020,0,8.0
46,ours,True,False,False,False,False,False,0.471,2.090,10.200,1.600,0.470,0,8.3
47,ego,True,False,False,False,False,False,0.207,0.580,,0.820,0.210,0,9.7
47,ours,True,False,False,False,False,False,0.446,2.430,,2.240,0.450,0,10.5
48,ego,True,False,False,False,False,False,0.248,0.370,7.980,1.430,0.250,0,10.0
48,ours,True,False,False,False,False,False,0.591,1.120,11.720,3.730,0.590,0,9.7
49,ego,True,False,False,False,False,False,0.558,2.920,27.770,0.560,0.600,0,9.8
49,ours,True,False,False,False,False,False,0.541,3.260,28.320,1.550,0.540,0,9.3
50,ego,True,False,False,False,False,False,0.241,3.860,21.420,2.420,0.240,0,8.8
50,ours,True,False,False,False,False,False,0.240,4.550,21.420,2.420,0.240,0,9.1
51,ego,False,True,False,True,False,False,-0.296,4.170,-0.300,22.290,4.410,0,infs
51,ours,True,False,False,False,False,False,0.332,1.050,3.990,5.770,0.330,175,14.3
52,ego,True,False,False,False,False,False,0.392,2.940,,0.460,0.390,0,8.6
52,ours,True,False,False,False,False,False,0.522,2.610,,2.170,0.520,0,8.5
53,ego,True,False,False,False,False,False,0.676,0.680,,1.230,7.760,0,9.7
53,ours,True,False,False,False,False,False,1.554,1.550,,2.780,7.670,0,9.8
54,ego,False,True,False,False,False,True,-0.331,0.680,,0.310,-0.330,0,infs
54,ours,True,False,False,False,False,False,0.321,1.710,,3.190,0.320,0,10.0
55,ego,False,True,False,False,False,True,-0.313,0.800,5.150,3.010,-0.310,0,infs
55,ours,False,True,False,False,False,True,-0.014,1.150,5.860,2.390,-0.010,0,infs
56,ego,False,True,False,True,False,False,-0.323,0.850,-0.320,6.740,1.490,0,infs
56,ours,True,False,False,False,False,False,0.089,2.220,0.750,4.660,0.090,0,10.8
57,ego,False,True,False,False,False,True,-0.035,1.230,11.800,3.030,-0.030,0,infs
57,ours,True,False,False,False,False,False,0.290,0.970,8.050,1.910,0.290,1,9.8
58,ego,False,True,False,False,False,True,-0.410,9.260,3.060,,-0.410,0,infs
58,ours,False,True,False,False,False,True,-0.091,1.410,2.420,2.160,-0.090,0,infs
59,ego,True,False,False,False,False,False,0.570,0.570,8.640,3.330,1.900,0,9.0
59,ours,True,False,False,False,False,False,0.733,1.130,8.470,1.890,0.730,0,10.9
60,ego,True,False,False,False,False,False,0.396,2.120,6.990,0.930,0.400,0,9.7
60,ours,True,False,False,False,False,False,0.450,2.120,6.960,1.440,0.450,0,9.8
61,ego,True,False,False,False,False,False,0.365,0.610,6.080,3.970,0.370,0,8.7
61,ours,True,False,False,False,False,False,0.482,1.370,7.330,4.250,0.480,0,8.7
62,ego,True,False,False,False,False,False,0.268,0.270,,6.040,0.420,0,8.9
62,ours,True,False,False,False,False,False,0.291,1.490,,6.860,0.290,0,10.7
63,ego,False,True,False,True,False,False,-0.238,4.510,-0.240,21.290,2.790,0,infs
63,ours,True,False,False,False,False,False,0.470,1.970,1.140,3.650,0.470,0,11.2
64,ego,True,False,False,False,False,False,0.509,0.510,8.280,1.560,0.670,0,7.4
64,ours,True,False,False,False,False,False,0.385,1.020,4.610,2.470,0.390,0,9.0
65,ego,True,False,False,False,False,False,0.208,0.210,,1.670,1.110,0,9.7
65,ours,True,False,False,False,False,False,1.549,1.550,,1.690,1.730,0,11.5
66,ego,False,True,True,False,False,False,-0.242,-0.240,25.140,3.470,0.090,0,infs
66,ours,True,False,False,False,False,False,0.093,1.070,24.480,1.710,0.090,0,9.5
67,ego,False,True,False,False,False,True,-0.426,1.080,18.790,15.040,-0.430,0,infs
67,ours,True,False,False,False,False,False,0.477,1.110,19.070,3.600,0.480,2,10.0
68,ego,True,False,False,False,False,False,0.037,0.260,23.430,0.640,0.040,0,8.3
68,ours,True,False,False,False,False,False,0.135,1.480,24.910,2.050,0.130,0,8.5
69,ego,True,False,False,False,False,False,0.590,0.590,16.280,3.280,6.500,0,9.8
69,ours,True,False,False,False,False,False,1.030,1.030,16.290,2.400,9.700,0,11.2
70,ego,True,False,False,False,False,False,0.192,1.360,1.370,2.450,0.190,0,9.2
70,ours,True,False,False,False,False,False,0.191,1.110,2.060,3.980,0.190,0,9.9
71,ego,True,False,False,False,False,False,0.361,0.360,25.100,3.190,0.380,0,8.8
