seed,mode,reached,collided,hit_ped,hit_veh,hit_animal,hit_static,min_clr,ped_clr,veh_clr,animal_clr,static_clr,astar_fail,t_goal
32,ours,True,False,False,False,False,False,0.110,1.170,5.660,1.480,0.110,179,14.3
33,ego,True,False,False,False,False,False,0.314,2.070,,3.100,0.310,0,15.3
33,ours,True,False,False,False,False,False,0.314,2.070,,3.100,0.310,0,15.3
34,ego,True,False,False,False,False,False,0.284,0.790,26.770,5.120,0.280,0,14.6
34,ours,True,False,False,False,False,False,0.297,1.850,26.770,6.260,0.300,0,14.6
35,ego,True,False,False,False,False,False,0.301,0.300,2.530,0.500,0.360,0,15.5
35,ours,False,True,False,False,False,True,-0.033,1.300,27.260,25.790,-0.030,0,infs
36,ego,True,False,False,False,False,False,0.336,0.450,24.200,5.350,0.340,0,13.6
36,ours,True,False,False,False,False,False,0.992,0.990,24.840,4.930,1.540,0,14.3
37,ego,False,True,False,False,False,True,-0.098,2.430,3.630,6.140,-0.100,0,infs
37,ours,True,False,False,False,False,False,0.406,1.770,3.630,2.810,0.410,0,13.8
38,ego,True,False,False,False,False,False,0.221,2.120,24.560,0.220,0.260,0,15.6
38,ours,True,False,False,False,False,False,0.255,1.210,24.560,2.680,0.260,0,16.0
39,ego,True,False,False,False,False,False,0.296,1.050,13.340,5.290,0.300,0,14.8
39,ours,True,False,False,False,False,False,0.242,2.040,12.510,0.590,0.240,429,16.6
40,ego,True,False,False,False,False,False,0.537,0.580,21.370,3.020,0.540,0,14.4
40,ours,False,True,False,False,False,True,-0.116,1.080,,23.100,-0.120,0,infs
41,ego,False,True,False,False,False,True,-0.152,0.690,,4.200,-0.150,0,infs
41,ours,True,False,False,False,False,False,0.342,1.270,26.070,4.200,0.340,0,14.5
42,ego,True,False,False,False,False,False,0.150,0.510,7.620,3.340,0.150,129,14.3
42,ours,True,False,False,False,False,False,0.122,1.430,7.620,5.650,0.120,0,14.6
43,ego,True,False,False,False,False,False,1.144,3.790,17.050,3.840,1.140,0,13.3
43,ours,True,False,False,False,False,False,1.144,3.790,17.050,3.840,1.140,0,13.3
44,ego,True,False,False,False,False,False,0.496,0.500,7.460,2.320,0.500,0,14.6
44,ours,True,False,False,False,False,False,0.467,1.960,8.990,9.500,0.470,0,14.7
45,ego,False,True,False,False,False,True,-0.086,11.770,,19.770,-0.090,0,infs
45,ours,True,False,False,False,False,False,0.342,1.900,13.400,2.000,0.340,0,14.8
46,ego,True,False,False,False,False,False,0.362,2.570,,1.420,0.360,0,12.0
46,ours,True,False,False,False,False,False,0.362,2.090,,2.340,0.360,0,12.2
47,ego,True,False,False,False,False,False,0.125,1.460,0.230,0.240,0.120,0,15.7
47,ours,True,False,False,False,False,False,0.154,1.420,0.150,1.820,0.480,0,15.7
48,ego,True,False,False,False,False,False,0.168,1.210,14.000,2.380,0.170,0,15.5
48,ours,False,True,False,False,False,True,-0.340,1.090,14.000,3.480,-0.340,0,infs
49,ego,True,False,False,False,False,False,0.309,0.620,27.860,4.270,0.310,0,14.6
49,ours,True,False,False,False,False,False,0.309,1.950,27.860,4.270,0.310,0,15.8
50,ego,True,False,False,False,False,False,0.401,4.300,20.900,1.450,0.400,0,13.7
50,ours,True,False,False,False,False,False,0.383,4.300,20.900,1.280,0.380,0,14.4
51,ego,False,True,False,True,False,False,-0.135,2.450,-0.140,18.410,4.370,0,infs
51,ours,True,False,False,False,False,False,0.297,1.190,0.300,2.540,0.340,258,16.3
52,ego,True,False,False,False,False,False,0.065,0.060,,1.470,0.340,0,13.7
52,ours,False,True,False,False,False,True,-0.122,1.830,,1.990,-0.120,707,infs
