planner,safety,seed,ep,max_vel,eps,reached,collided,min_clr,time_s,max_z,n_hold,dynamics
bspline,off,12,3,2.0,0.05,True,0,0.249,2.1,1.5,0,0
bspline,off,12,4,2.0,0.05,True,0,2.89,2.1,1.5,0,0
bspline,off,12,5,2.0,0.05,True,1,-0.173,2.1,1.5,0,0
bspline,off,13,0,2.0,0.05,True,0,0.155,2.1,1.5,0,0
bspline,off,13,1,2.0,0.05,True,0,2.152,2.1,1.5,0,0
bspline,off,13,2,2.0,0.05,True,0,2.163,2.1,1.5,0,0
bspline,off,13,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,13,4,2.0,0.05,True,1,-0.169,2.1,1.5,0,0
bspline,off,13,5,2.0,0.05,True,1,-0.21,2.1,1.5,0,0
bspline,off,14,0,2.0,0.05,True,0,1.037,2.1,1.5,0,0
bspline,off,14,1,2.0,0.05,True,0,2.168,2.1,1.5,0,0
bspline,off,14,2,2.0,0.05,True,0,4.781,2.1,1.5,0,0
bspline,off,14,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,14,4,2.0,0.05,True,0,2.116,2.1,1.5,0,0
bspline,off,14,5,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,15,0,2.0,0.05,True,0,0.103,2.1,1.5,0,0
bspline,off,15,1,2.0,0.05,True,0,2.145,2.1,1.5,0,0
bspline,off,15,2,2.0,0.05,True,0,2.203,2.1,1.5,0,0
bspline,off,15,3,2.0,0.05,True,0,0.938,2.1,1.5,0,0
bspline,off,15,4,2.0,0.05,True,1,-0.323,2.1,1.5,0,0
bspline,off,15,5,2.0,0.05,True,0,0.056,2.1,1.5,0,0
bspline,off,16,0,2.0,0.05,True,0,1.729,2.1,1.5,0,0
bspline,off,16,1,2.0,0.05,True,1,-0.186,2.1,1.5,0,0
bspline,off,16,2,2.0,0.05,True,1,-0.024,2.1,1.5,0,0
bspline,off,16,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,16,4,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,16,5,2.0,0.05,True,0,2.153,2.1,1.5,0,0
bspline,off,17,0,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,17,1,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,17,2,2.0,0.05,True,1,-0.206,2.1,1.5,0,0
bspline,off,17,3,2.0,0.05,True,0,2.201,2.1,1.5,0,0
bspline,off,17,4,2.0,0.05,True,0,3.291,2.1,1.5,0,0
bspline,off,17,5,2.0,0.05,True,0,2.197,2.1,1.5,0,0
bspline,off,18,0,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,18,1,2.0,0.05,True,0,1.404,2.1,1.5,0,0
bspline,off,18,2,2.0,0.05,True,0,0.339,2.1,1.5,0,0
bspline,off,18,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,18,4,2.0,0.05,True,0,2.195,2.1,1.5,0,0
bspline,off,18,5,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,off,19,0,2.0,0.05,True,0,9.808,2.1,1.5,0,0
bspline,off,19,1,2.0,0.05,True,0,1.243,2.1,1.5,0,0
bspline,off,19,2,2.0,0.05,True,0,1.043,2.1,1.5,0,0
bspline,off,19,3,2.0,0.05,True,0,1.717,2.1,1.5,0,0
bspline,off,19,4,2.0,0.05,True,0,1.366,2.1,1.5,0,0
bspline,off,19,5,2.0,0.05,True,0,0.791,2.1,1.5,0,0
bspline,off,0,0,3.0,0.05,True,0,2.067,1.8,1.5,0,0
bspline,off,0,1,3.0,0.05,True,0,0.01,1.8,1.5,0,0
bspline,off,0,2,3.0,0.05,True,0,0.04,1.8,1.5,0,0
bspline,off,0,3,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,0,4,3.0,0.05,True,0,2.218,1.8,1.5,0,0
bspline,off,0,5,3.0,0.05,True,0,0.495,1.8,1.5,0,0
bspline,off,1,0,3.0,0.05,True,0,2.067,1.8,1.5,0,0
bspline,off,1,1,3.0,0.05,True,0,0.148,1.8,1.5,0,0
bspline,off,1,2,3.0,0.05,True,0,2.212,1.8,1.5,0,0
bspline,off,1,3,3.0,0.05,True,0,0.006,1.8,1.5,0,0
bspline,off,1,4,3.0,0.05,True,0,0.846,1.8,1.5,0,0
bspline,off,1,5,3.0,0.05,True,0,1.594,1.8,1.5,0,0
bspline,off,2,0,3.0,0.05,True,0,1.544,1.8,1.5,0,0
bspline,off,2,1,3.0,0.05,True,0,2.11,1.8,1.5,0,0
bspline,off,2,2,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,2,3,3.0,0.05,True,0,0.984,1.8,1.5,0,0
bspline,off,2,4,3.0,0.05,True,0,2.213,1.8,1.5,0,0
bspline,off,2,5,3.0,0.05,True,1,-0.116,1.8,1.5,0,0
bspline,off,3,0,3.0,0.05,True,0,2.088,1.8,1.5,0,0
bspline,off,3,1,3.0,0.05,True,0,0.552,1.8,1.5,0,0
bspline,off,3,2,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,3,3,3.0,0.05,True,0,2.226,1.8,1.5,0,0
bspline,off,3,4,3.0,0.05,True,0,2.132,1.8,1.5,0,0
bspline,off,3,5,3.0,0.05,True,0,0.492,1.8,1.5,0,0
bspline,off,4,0,3.0,0.05,True,0,2.011,1.8,1.5,0,0
bspline,off,4,1,3.0,0.05,True,0,2.231,1.8,1.5,0,0
bspline,off,4,2,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,4,3,3.0,0.05,True,0,2.223,1.8,1.5,0,0
bspline,off,4,4,3.0,0.05,True,0,1.377,1.8,1.5,0,0
bspline,off,4,5,3.0,0.05,True,0,1.15,1.8,1.5,0,0
bspline,off,5,0,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,5,1,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,5,2,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,5,3,3.0,0.05,True,0,0.401,1.8,1.5,0,0
bspline,off,5,4,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,5,5,3.0,0.05,True,0,2.222,1.8,1.5,0,0
bspline,off,6,0,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,6,1,3.0,0.05,True,0,2.226,1.8,1.5,0,0
bspline,off,6,2,3.0,0.05,True,0,0.805,1.8,1.5,0,0
bspline,off,6,3,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,6,4,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,6,5,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,7,0,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,7,1,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,7,2,3.0,0.05,True,0,0.034,1.8,1.5,0,0
bspline,off,7,3,3.0,0.05,True,0,0.241,1.8,1.5,0,0
bspline,off,7,4,3.0,0.05,True,0,0.021,1.8,1.5,0,0
bspline,off,7,5,3.0,0.05,True,0,0.946,1.8,1.5,0,0
bspline,off,8,0,3.0,0.05,True,0,0.925,1.8,1.5,0,0
bspline,off,8,1,3.0,0.05,True,0,1.796,1.8,1.5,0,0
bspline,off,8,2,3.0,0.05,True,0,0.085,1.8,1.5,0,0
bspline,off,8,3,3.0,0.05,True,0,0.008,1.8,1.5,0,0
bspline,off,8,4,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,8,5,3.0,0.05,True,0,0.125,1.8,1.5,0,0
bspline,off,9,0,3.0,0.05,True,0,1.772,1.8,1.5,0,0
bspline,off,9,1,3.0,0.05,True,0,8.252,1.8,1.5,0,0
bspline,off,9,2,3.0,0.05,True,0,0.794,1.8,1.5,0,0
bspline,off,9,3,3.0,0.05,True,0,0.185,1.8,1.5,0,0
bspline,off,9,4,3.0,0.05,True,0,1.316,1.8,1.5,0,0
bspline,off,9,5,3.0,0.05,True,0,0.849,1.8,1.5,0,0
bspline,off,10,0,3.0,0.05,True,0,0.007,1.8,1.5,0,0
bspline,off,10,1,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,10,2,3.0,0.05,True,0,0.4,1.8,1.5,0,0
bspline,off,10,3,3.0,0.05,True,0,2.218,1.8,1.5,0,0
bspline,off,10,4,3.0,0.05,True,0,1.32,1.8,1.5,0,0
bspline,off,10,5,3.0,0.05,True,0,0.894,1.8,1.5,0,0
bspline,off,11,0,3.0,0.05,True,1,-0.013,1.8,1.5,0,0
bspline,off,11,1,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,11,2,3.0,0.05,True,0,1.696,1.8,1.5,0,0
bspline,off,11,3,3.0,0.05,True,0,0.616,1.8,1.5,0,0
bspline,off,11,4,3.0,0.05,True,0,0.488,1.8,1.5,0,0
bspline,off,11,5,3.0,0.05,True,0,0.859,1.8,1.5,0,0
bspline,off,12,0,3.0,0.05,True,0,2.871,1.8,1.5,0,0
bspline,off,12,1,3.0,0.05,True,0,0.992,1.8,1.5,0,0
bspline,off,12,2,3.0,0.05,True,0,0.042,1.8,1.5,0,0
bspline,off,12,3,3.0,0.05,True,0,0.322,1.8,1.5,0,0
bspline,off,12,4,3.0,0.05,True,0,4.568,1.8,1.5,0,0
bspline,off,12,5,3.0,0.05,True,0,0.03,1.8,1.5,0,0
bspline,off,13,0,3.0,0.05,True,0,0.199,1.8,1.5,0,0
bspline,off,13,1,3.0,0.05,True,0,2.163,1.8,1.5,0,0
bspline,off,13,2,3.0,0.05,True,0,2.181,1.8,1.5,0,0
bspline,off,13,3,3.0,0.05,True,0,2.209,1.8,1.5,0,0
bspline,off,13,4,3.0,0.05,True,0,0.02,1.8,1.5,0,0
bspline,off,13,5,3.0,0.05,True,0,0.004,1.8,1.5,0,0
bspline,off,14,0,3.0,0.05,True,0,1.169,1.8,1.5,0,0
bspline,off,14,1,3.0,0.05,True,0,2.203,1.8,1.5,0,0
bspline,off,14,2,3.0,0.05,True,0,5.205,1.8,1.5,0,0
bspline,off,14,3,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,14,4,3.0,0.05,True,0,2.133,1.8,1.5,0,0
bspline,off,14,5,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,15,0,3.0,0.05,True,0,0.027,1.8,1.5,0,0
bspline,off,15,1,3.0,0.05,True,0,2.162,1.8,1.5,0,0
bspline,off,15,2,3.0,0.05,True,0,2.212,1.8,1.5,0,0
bspline,off,15,3,3.0,0.05,True,0,0.94,1.8,1.5,0,0
bspline,off,15,4,3.0,0.05,True,1,-0.369,1.8,1.5,0,0
bspline,off,15,5,3.0,0.05,True,0,0.138,1.8,1.5,0,0
bspline,off,16,0,3.0,0.05,True,0,1.765,1.8,1.5,0,0
bspline,off,16,1,3.0,0.05,True,0,0.041,1.8,1.5,0,0
bspline,off,16,2,3.0,0.05,True,1,-0.033,1.8,1.5,0,0
bspline,off,16,3,3.0,0.05,True,0,2.217,1.8,1.5,0,0
bspline,off,16,4,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,16,5,3.0,0.05,True,0,2.209,1.8,1.5,0,0
bspline,off,17,0,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,17,1,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,17,2,3.0,0.05,True,0,0.008,1.8,1.5,0,0
bspline,off,17,3,3.0,0.05,True,0,2.199,1.8,1.5,0,0
bspline,off,17,4,3.0,0.05,True,0,3.646,1.8,1.5,0,0
bspline,off,17,5,3.0,0.05,True,0,2.122,1.8,1.5,0,0
bspline,off,18,0,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,18,1,3.0,0.05,True,0,1.421,1.8,1.5,0,0
bspline,off,18,2,3.0,0.05,True,1,-0.198,1.8,1.5,0,0
bspline,off,18,3,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,18,4,3.0,0.05,True,0,2.232,1.8,1.5,0,0
bspline,off,18,5,3.0,0.05,True,0,2.219,1.8,1.5,0,0
bspline,off,19,0,3.0,0.05,True,0,10.008,1.8,1.5,0,0
bspline,off,19,1,3.0,0.05,True,0,1.848,1.8,1.5,0,0
bspline,off,19,2,3.0,0.05,True,0,0.941,1.8,1.5,0,0
bspline,off,19,3,3.0,0.05,True,0,1.806,1.8,1.5,0,0
bspline,off,19,4,3.0,0.05,True,0,1.451,1.8,1.5,0,0
bspline,off,19,5,3.0,0.05,True,0,0.734,1.8,1.5,0,0
bspline,off,0,0,4.0,0.05,True,0,2.08,1.5,1.5,0,0
bspline,off,0,1,4.0,0.05,True,0,0.397,1.5,1.5,0,0
bspline,off,0,2,4.0,0.05,True,0,0.417,1.5,1.5,0,0
bspline,off,0,3,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,0,4,4.0,0.05,True,0,2.295,1.5,1.5,0,0
bspline,off,0,5,4.0,0.05,True,0,0.758,1.5,1.5,0,0
bspline,off,1,0,4.0,0.05,True,0,2.229,1.5,1.5,0,0
bspline,off,1,1,4.0,0.05,True,0,0.472,1.5,1.5,0,0
bspline,off,1,2,4.0,0.05,True,0,2.289,1.5,1.5,0,0
bspline,off,1,3,4.0,0.05,True,0,0.4,1.5,1.5,0,0
bspline,off,1,4,4.0,0.05,True,0,0.869,1.5,1.5,0,0
bspline,off,1,5,4.0,0.05,True,0,1.855,1.5,1.5,0,0
bspline,off,2,0,4.0,0.05,True,0,1.739,1.5,1.5,0,0
bspline,off,2,1,4.0,0.05,True,0,2.19,1.5,1.5,0,0
bspline,off,2,2,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,2,3,4.0,0.05,True,0,0.58,1.5,1.5,0,0
bspline,off,2,4,4.0,0.05,True,0,2.292,1.5,1.5,0,0
bspline,off,2,5,4.0,0.05,True,1,-0.134,1.5,1.5,0,0
bspline,off,3,0,4.0,0.05,True,0,1.989,1.5,1.5,0,0
bspline,off,3,1,4.0,0.05,True,0,0.912,1.5,1.5,0,0
bspline,off,3,2,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,3,3,4.0,0.05,True,0,2.313,1.5,1.5,0,0
bspline,off,3,4,4.0,0.05,True,0,2.194,1.5,1.5,0,0
bspline,off,3,5,4.0,0.05,True,0,0.589,1.5,1.5,0,0
bspline,off,4,0,4.0,0.05,True,0,2.145,1.5,1.5,0,0
bspline,off,4,1,4.0,0.05,True,0,2.396,1.5,1.5,0,0
bspline,off,4,2,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,4,3,4.0,0.05,True,0,2.308,1.5,1.5,0,0
bspline,off,4,4,4.0,0.05,True,0,1.191,1.5,1.5,0,0
bspline,off,4,5,4.0,0.05,True,0,1.307,1.5,1.5,0,0
bspline,off,5,0,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,5,1,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,5,2,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,5,3,4.0,0.05,True,0,0.401,1.5,1.5,0,0
bspline,off,5,4,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,5,5,4.0,0.05,True,0,2.303,1.5,1.5,0,0
bspline,off,6,0,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,6,1,4.0,0.05,True,0,2.315,1.5,1.5,0,0
bspline,off,6,2,4.0,0.05,True,0,0.683,1.5,1.5,0,0
bspline,off,6,3,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,6,4,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,6,5,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,7,0,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,7,1,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,7,2,4.0,0.05,True,0,0.159,1.5,1.5,0,0
bspline,off,7,3,4.0,0.05,True,0,0.561,1.5,1.5,0,0
bspline,off,7,4,4.0,0.05,True,0,0.409,1.5,1.5,0,0
bspline,off,7,5,4.0,0.05,True,0,1.096,1.5,1.5,0,0
bspline,off,8,0,4.0,0.05,True,0,0.934,1.5,1.5,0,0
bspline,off,8,1,4.0,0.05,True,0,1.916,1.5,1.5,0,0
bspline,off,8,2,4.0,0.05,True,0,0.581,1.5,1.5,0,0
bspline,off,8,3,4.0,0.05,True,0,0.401,1.5,1.5,0,0
bspline,off,8,4,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,8,5,4.0,0.05,True,0,0.257,1.5,1.5,0,0
bspline,off,9,0,4.0,0.05,True,0,1.867,1.5,1.5,0,0
bspline,off,9,1,4.0,0.05,True,0,9.942,1.5,1.5,0,0
bspline,off,9,2,4.0,0.05,True,0,0.683,1.5,1.5,0,0
bspline,off,9,3,4.0,0.05,True,0,0.433,1.5,1.5,0,0
bspline,off,9,4,4.0,0.05,True,0,1.084,1.5,1.5,0,0
bspline,off,9,5,4.0,0.05,True,0,1.212,1.5,1.5,0,0
bspline,off,10,0,4.0,0.05,True,1,-0.072,1.5,1.5,0,0
bspline,off,10,1,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,10,2,4.0,0.05,True,0,0.585,1.5,1.5,0,0
bspline,off,10,3,4.0,0.05,True,0,2.309,1.5,1.5,0,0
bspline,off,10,4,4.0,0.05,True,0,1.538,1.5,1.5,0,0
bspline,off,10,5,4.0,0.05,True,0,1.004,1.5,1.5,0,0
bspline,off,11,0,4.0,0.05,True,0,1.398,1.5,1.5,0,0
bspline,off,11,1,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,11,2,4.0,0.05,True,0,1.799,1.5,1.5,0,0
bspline,off,11,3,4.0,0.05,True,0,0.703,1.5,1.5,0,0
bspline,off,11,4,4.0,0.05,True,0,0.708,1.5,1.5,0,0
bspline,off,11,5,4.0,0.05,True,0,1.038,1.5,1.5,0,0
bspline,off,12,0,4.0,0.05,True,0,5.386,1.5,1.5,0,0
bspline,off,12,1,4.0,0.05,True,0,1.167,1.5,1.5,0,0
bspline,off,12,2,4.0,0.05,True,0,0.539,1.5,1.5,0,0
bspline,off,12,3,4.0,0.05,True,0,0.585,1.5,1.5,0,0
bspline,off,12,4,4.0,0.05,True,0,4.58,1.5,1.5,0,0
bspline,off,12,5,4.0,0.05,True,0,0.416,1.5,1.5,0,0
bspline,off,13,0,4.0,0.05,True,0,0.409,1.5,1.5,0,0
bspline,off,13,1,4.0,0.05,True,0,2.237,1.5,1.5,0,0
bspline,off,13,2,4.0,0.05,True,0,2.26,1.5,1.5,0,0
bspline,off,13,3,4.0,0.05,True,0,2.276,1.5,1.5,0,0
bspline,off,13,4,4.0,0.05,True,0,0.406,1.5,1.5,0,0
bspline,off,13,5,4.0,0.05,True,0,0.398,1.5,1.5,0,0
bspline,off,14,0,4.0,0.05,True,0,1.538,1.5,1.5,0,0
bspline,off,14,1,4.0,0.05,True,0,2.298,1.5,1.5,0,0
bspline,off,14,2,4.0,0.05,True,0,5.661,1.5,1.5,0,0
bspline,off,14,3,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,14,4,4.0,0.05,True,0,2.213,1.5,1.5,0,0
bspline,off,14,5,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,15,0,4.0,0.05,True,0,0.313,1.5,1.5,0,0
bspline,off,15,1,4.0,0.05,True,0,2.241,1.5,1.5,0,0
bspline,off,15,2,4.0,0.05,True,0,2.281,1.5,1.5,0,0
bspline,off,15,3,4.0,0.05,True,0,1.061,1.5,1.5,0,0
bspline,off,15,4,4.0,0.05,True,1,-0.017,1.5,1.5,0,0
bspline,off,15,5,4.0,0.05,True,0,0.453,1.5,1.5,0,0
bspline,off,16,0,4.0,0.05,True,0,1.826,1.5,1.5,0,0
bspline,off,16,1,4.0,0.05,True,0,0.428,1.5,1.5,0,0
bspline,off,16,2,4.0,0.05,True,0,0.314,1.5,1.5,0,0
bspline,off,16,3,4.0,0.05,True,0,2.294,1.5,1.5,0,0
bspline,off,16,4,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,16,5,4.0,0.05,True,0,2.325,1.5,1.5,0,0
bspline,off,17,0,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,17,1,4.0,0.05,True,0,2.297,1.5,1.5,0,0
bspline,off,17,2,4.0,0.05,True,0,0.401,1.5,1.5,0,0
bspline,off,17,3,4.0,0.05,True,0,2.259,1.5,1.5,0,0
bspline,off,17,4,4.0,0.05,True,0,3.732,1.5,1.5,0,0
bspline,off,17,5,4.0,0.05,True,0,2.111,1.5,1.5,0,0
bspline,off,18,0,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,18,1,4.0,0.05,True,0,1.513,1.5,1.5,0,0
bspline,off,18,2,4.0,0.05,True,0,0.94,1.5,1.5,0,0
bspline,off,18,3,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,18,4,4.0,0.05,True,0,2.328,1.5,1.5,0,0
bspline,off,18,5,4.0,0.05,True,0,2.296,1.5,1.5,0,0
bspline,off,19,0,4.0,0.05,True,0,10.208,1.5,1.5,0,0
bspline,off,19,1,4.0,0.05,True,0,2.335,1.5,1.5,0,0
bspline,off,19,2,4.0,0.05,True,0,0.959,1.5,1.5,0,0
bspline,off,19,3,4.0,0.05,True,0,1.96,1.5,1.5,0,0
bspline,off,19,4,4.0,0.05,True,0,1.614,1.5,1.5,0,0
bspline,off,19,5,4.0,0.05,True,0,0.724,1.5,1.5,0,0
bspline,on,0,0,2.0,0.05,True,0,2.119,2.1,1.5,0,0
bspline,on,0,1,2.0,0.05,True,0,1.118,2.4,1.5,0,0
bspline,on,0,2,2.0,0.05,True,0,1.218,2.1,1.5,0,0
bspline,on,0,3,2.0,0.05,True,0,2.202,2.1,1.5,0,0
bspline,on,0,4,2.0,0.05,True,0,2.202,2.1,1.5,0,0
